notifikasi_id,koperasi_id,tanggal,jenis_alert,status_tindak_lanjut
NTF-000319,KDMP-00117,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000320,KDMP-00117,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000321,KDMP-00117,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000322,KDMP-00117,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000323,KDMP-00118,2026-05-28,Skor turun 14.7 poin dari bulan sebelumnya,Baru
NTF-000324,KDMP-00118,2026-06-28,Skor turun 22.4 poin dari bulan sebelumnya,Baru
NTF-000325,KDMP-00118,2026-08-28,Skor turun 7.6 poin dari bulan sebelumnya,Baru
NTF-000326,KDMP-00119,2026-07-28,Skor turun 26.4 poin dari bulan sebelumnya,Baru
NTF-000327,KDMP-00119,2026-08-28,Skor turun 7.2 poin dari bulan sebelumnya,Baru
NTF-000328,KDMP-00120,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000329,KDMP-00120,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000330,KDMP-00120,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000331,KDMP-00120,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000332,KDMP-00120,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000333,KDMP-00120,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000334,KDMP-00121,2026-06-28,Skor turun 8.9 poin dari bulan sebelumnya,Baru
NTF-000335,KDMP-00122,2026-04-28,Skor turun 12.3 poin dari bulan sebelumnya,Baru
NTF-000336,KDMP-00122,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000337,KDMP-00122,2026-07-28,Skor turun 6.7 poin dari bulan sebelumnya,Baru
NTF-000338,KDMP-00123,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000339,KDMP-00124,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000340,KDMP-00124,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000341,KDMP-00124,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000342,KDMP-00125,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000343,KDMP-00125,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000344,KDMP-00126,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000345,KDMP-00127,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000346,KDMP-00127,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000347,KDMP-00127,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000348,KDMP-00127,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000349,KDMP-00127,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000350,KDMP-00127,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000351,KDMP-00128,2026-05-28,Skor turun 22.0 poin dari bulan sebelumnya,Baru
NTF-000352,KDMP-00128,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000353,KDMP-00130,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000354,KDMP-00130,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000355,KDMP-00130,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000356,KDMP-00132,2026-05-28,Skor turun 9.9 poin dari bulan sebelumnya,Baru
NTF-000357,KDMP-00133,2026-06-28,Skor turun 7.5 poin dari bulan sebelumnya,Baru
NTF-000358,KDMP-00134,2026-08-28,Skor turun 7.0 poin dari bulan sebelumnya,Baru
NTF-000359,KDMP-00135,2026-05-28,Skor turun 12.4 poin dari bulan sebelumnya,Baru
NTF-000360,KDMP-00135,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000361,KDMP-00135,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000362,KDMP-00136,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000363,KDMP-00136,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000364,KDMP-00136,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000365,KDMP-00136,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000366,KDMP-00136,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000367,KDMP-00136,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000368,KDMP-00137,2026-04-28,Skor turun 5.6 poin dari bulan sebelumnya,Baru
NTF-000369,KDMP-00137,2026-08-28,Skor turun 5.7 poin dari bulan sebelumnya,Baru
NTF-000370,KDMP-00138,2026-05-28,Skor turun 6.0 poin dari bulan sebelumnya,Baru
NTF-000371,KDMP-00138,2026-07-28,Skor turun 13.5 poin dari bulan sebelumnya,Baru
NTF-000372,KDMP-00139,2026-06-28,Skor turun 5.7 poin dari bulan sebelumnya,Baru
NTF-000373,KDMP-00140,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000374,KDMP-00140,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000375,KDMP-00140,2026-08-28,Skor turun 10.2 poin dari bulan sebelumnya,Baru
NTF-000376,KDMP-00141,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000377,KDMP-00141,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000378,KDMP-00142,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000379,KDMP-00142,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000380,KDMP-00142,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000381,KDMP-00143,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000382,KDMP-00143,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000383,KDMP-00144,2026-04-28,Skor turun 24.1 poin dari bulan sebelumnya,Baru
NTF-000384,KDMP-00144,2026-06-28,Skor turun 18.1 poin dari bulan sebelumnya,Baru
NTF-000385,KDMP-00144,2026-08-28,Skor turun 10.7 poin dari bulan sebelumnya,Baru
NTF-000386,KDMP-00145,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000387,KDMP-00145,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000388,KDMP-00145,2026-08-28,Skor turun 15.2 poin dari bulan sebelumnya,Baru
NTF-000389,KDMP-00146,2026-07-28,Skor turun 12.3 poin dari bulan sebelumnya,Baru
NTF-000390,KDMP-00147,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000391,KDMP-00147,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000392,KDMP-00147,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000393,KDMP-00147,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000394,KDMP-00148,2026-06-28,Skor turun 5.0 poin dari bulan sebelumnya,Baru
NTF-000395,KDMP-00148,2026-07-28,Skor turun 13.9 poin dari bulan sebelumnya,Baru
NTF-000396,KDMP-00148,2026-08-28,Skor turun 10.6 poin dari bulan sebelumnya,Baru
NTF-000397,KDMP-00149,2026-04-28,Skor turun 5.1 poin dari bulan sebelumnya,Baru
NTF-000398,KDMP-00149,2026-05-28,Skor turun 16.5 poin dari bulan sebelumnya,Baru
NTF-000399,KDMP-00149,2026-08-28,Skor turun 6.6 poin dari bulan sebelumnya,Baru
NTF-000400,KDMP-00150,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000401,KDMP-00150,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000402,KDMP-00150,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000403,KDMP-00150,2026-08-28,Skor turun 5.5 poin dari bulan sebelumnya,Baru
NTF-000404,KDMP-00151,2026-08-28,Skor turun 9.6 poin dari bulan sebelumnya,Baru
NTF-000405,KDMP-00152,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000406,KDMP-00152,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000407,KDMP-00152,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000408,KDMP-00152,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000409,KDMP-00152,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000410,KDMP-00152,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000411,KDMP-00153,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000412,KDMP-00153,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000413,KDMP-00153,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000414,KDMP-00153,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000415,KDMP-00153,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000416,KDMP-00153,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000417,KDMP-00154,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000418,KDMP-00154,2026-07-28,Skor turun 5.7 poin dari bulan sebelumnya,Baru
NTF-000419,KDMP-00155,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000420,KDMP-00155,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000421,KDMP-00155,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000422,KDMP-00155,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000423,KDMP-00156,2026-06-28,Skor turun 7.7 poin dari bulan sebelumnya,Baru
NTF-000424,KDMP-00156,2026-07-28,Skor turun 7.2 poin dari bulan sebelumnya,Baru
NTF-000425,KDMP-00156,2026-08-28,Skor turun 10.4 poin dari bulan sebelumnya,Baru
NTF-000426,KDMP-00157,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000427,KDMP-00157,2026-05-28,Skor turun 12.7 poin dari bulan sebelumnya,Baru
NTF-000428,KDMP-00157,2026-07-28,Skor turun 7.4 poin dari bulan sebelumnya,Baru
NTF-000429,KDMP-00158,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000430,KDMP-00158,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000431,KDMP-00158,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000432,KDMP-00158,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000433,KDMP-00158,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000434,KDMP-00158,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000435,KDMP-00160,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000436,KDMP-00160,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000437,KDMP-00161,2026-04-28,Skor turun 11.9 poin dari bulan sebelumnya,Baru
NTF-000438,KDMP-00161,2026-07-28,Skor turun 9.5 poin dari bulan sebelumnya,Baru
NTF-000439,KDMP-00163,2026-04-28,Skor turun 5.1 poin dari bulan sebelumnya,Baru
NTF-000440,KDMP-00163,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000441,KDMP-00163,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000442,KDMP-00163,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000443,KDMP-00164,2026-04-28,Skor turun 9.8 poin dari bulan sebelumnya,Baru
NTF-000444,KDMP-00164,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000445,KDMP-00164,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000446,KDMP-00165,2026-04-28,Skor turun 9.2 poin dari bulan sebelumnya,Baru
NTF-000447,KDMP-00165,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000448,KDMP-00165,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000449,KDMP-00165,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000450,KDMP-00166,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000451,KDMP-00166,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000452,KDMP-00167,2026-05-28,Skor turun 5.9 poin dari bulan sebelumnya,Baru
NTF-000453,KDMP-00168,2026-04-28,Skor turun 8.1 poin dari bulan sebelumnya,Baru
NTF-000454,KDMP-00168,2026-07-28,Skor turun 31.8 poin dari bulan sebelumnya,Baru
NTF-000455,KDMP-00169,2026-05-28,Skor turun 14.3 poin dari bulan sebelumnya,Baru
NTF-000456,KDMP-00170,2026-05-28,Skor turun 5.7 poin dari bulan sebelumnya,Baru
NTF-000457,KDMP-00170,2026-06-28,Skor turun 5.2 poin dari bulan sebelumnya,Baru
NTF-000458,KDMP-00171,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000459,KDMP-00171,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000460,KDMP-00172,2026-06-28,Skor turun 6.3 poin dari bulan sebelumnya,Baru
NTF-000461,KDMP-00172,2026-07-28,Skor turun 11.5 poin dari bulan sebelumnya,Baru
NTF-000462,KDMP-00173,2026-04-28,Skor turun 5.1 poin dari bulan sebelumnya,Baru
NTF-000463,KDMP-00173,2026-06-28,Skor turun 8.3 poin dari bulan sebelumnya,Baru
NTF-000464,KDMP-00174,2026-04-28,Skor turun 9.6 poin dari bulan sebelumnya,Baru
NTF-000465,KDMP-00174,2026-06-28,Skor turun 8.7 poin dari bulan sebelumnya,Baru
NTF-000466,KDMP-00174,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000467,KDMP-00174,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000468,KDMP-00175,2026-05-28,Skor turun 12.6 poin dari bulan sebelumnya,Baru
NTF-000469,KDMP-00175,2026-07-28,Skor turun 11.4 poin dari bulan sebelumnya,Baru
NTF-000470,KDMP-00176,2026-06-28,Skor turun 5.4 poin dari bulan sebelumnya,Baru
NTF-000471,KDMP-00177,2026-05-28,Skor turun 15.5 poin dari bulan sebelumnya,Baru
NTF-000472,KDMP-00177,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000473,KDMP-00177,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000474,KDMP-00177,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000475,KDMP-00178,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000476,KDMP-00178,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000477,KDMP-00178,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000478,KDMP-00178,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000479,KDMP-00178,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000480,KDMP-00178,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000481,KDMP-00179,2026-04-28,Skor turun 18.0 poin dari bulan sebelumnya,Baru
NTF-000482,KDMP-00179,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000483,KDMP-00180,2026-04-28,Skor turun 8.5 poin dari bulan sebelumnya,Baru
NTF-000484,KDMP-00180,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000485,KDMP-00180,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000486,KDMP-00181,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000487,KDMP-00181,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000488,KDMP-00181,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000489,KDMP-00181,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000490,KDMP-00181,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000491,KDMP-00181,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000492,KDMP-00182,2026-05-28,Skor turun 9.4 poin dari bulan sebelumnya,Baru
NTF-000493,KDMP-00182,2026-07-28,Skor turun 11.4 poin dari bulan sebelumnya,Baru
NTF-000494,KDMP-00183,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000495,KDMP-00183,2026-08-28,Skor turun 11.4 poin dari bulan sebelumnya,Baru
NTF-000496,KDMP-00184,2026-05-28,Skor turun 7.5 poin dari bulan sebelumnya,Baru
NTF-000497,KDMP-00184,2026-08-28,Skor turun 7.6 poin dari bulan sebelumnya,Baru
NTF-000498,KDMP-00185,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000499,KDMP-00185,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000500,KDMP-00185,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000501,KDMP-00185,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000502,KDMP-00185,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000503,KDMP-00185,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000504,KDMP-00186,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000505,KDMP-00186,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000506,KDMP-00186,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000507,KDMP-00186,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000508,KDMP-00186,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000509,KDMP-00186,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000510,KDMP-00187,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000511,KDMP-00187,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000512,KDMP-00187,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000513,KDMP-00187,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000514,KDMP-00187,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000515,KDMP-00187,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000516,KDMP-00188,2026-05-28,Skor turun 6.6 poin dari bulan sebelumnya,Baru
NTF-000517,KDMP-00189,2026-05-28,Skor turun 6.9 poin dari bulan sebelumnya,Baru
NTF-000518,KDMP-00189,2026-07-28,Skor turun 22.6 poin dari bulan sebelumnya,Baru
NTF-000519,KDMP-00189,2026-08-28,Skor turun 8.2 poin dari bulan sebelumnya,Baru
NTF-000520,KDMP-00190,2026-07-28,Skor turun 9.9 poin dari bulan sebelumnya,Baru
NTF-000521,KDMP-00191,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000522,KDMP-00191,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000523,KDMP-00191,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000524,KDMP-00191,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000525,KDMP-00191,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000526,KDMP-00191,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000527,KDMP-00192,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000528,KDMP-00192,2026-07-28,Skor turun 8.6 poin dari bulan sebelumnya,Baru
NTF-000529,KDMP-00192,2026-08-28,Skor turun 5.7 poin dari bulan sebelumnya,Baru
NTF-000530,KDMP-00193,2026-04-28,Skor turun 8.4 poin dari bulan sebelumnya,Baru
NTF-000531,KDMP-00193,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000532,KDMP-00194,2026-04-28,Skor turun 13.2 poin dari bulan sebelumnya,Baru
NTF-000533,KDMP-00194,2026-05-28,Skor turun 8.0 poin dari bulan sebelumnya,Baru
NTF-000534,KDMP-00194,2026-07-28,Skor turun 7.6 poin dari bulan sebelumnya,Baru
NTF-000535,KDMP-00194,2026-08-28,Skor turun 11.3 poin dari bulan sebelumnya,Baru
NTF-000536,KDMP-00196,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000537,KDMP-00196,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000538,KDMP-00196,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000539,KDMP-00196,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000540,KDMP-00197,2026-06-28,Skor turun 12.7 poin dari bulan sebelumnya,Baru
NTF-000541,KDMP-00198,2026-04-28,Skor turun 7.2 poin dari bulan sebelumnya,Baru
NTF-000542,KDMP-00198,2026-07-28,Skor turun 7.0 poin dari bulan sebelumnya,Baru
