kabupaten_kota,kecamatan,desa,dimensi_sosial,dimensi_ekonomi,dimensi_lingkungan,skor_idm,status_idm
Kab. Cianjur,Pagelaran,Padamaju,0.8229,0.8167,0.8,0.8132,Maju
Kab. Cianjur,Pagelaran,Karangharja,0.7143,0.6333,0.6667,0.6714,Berkembang
Kab. Cianjur,Pagelaran,Sukamaju,0.7829,0.4833,0.7333,0.6665,Berkembang
Kab. Cianjur,Tanggeung,Tanggeung,0.8686,0.85,0.6667,0.7951,Maju
Kab. Cianjur,Tanggeung,Rawagede,0.8629,0.5667,0.6667,0.6987,Berkembang
Kab. Cianjur,Tanggeung,Cilongsong,0.8114,0.4667,0.7333,0.6705,Berkembang
Kab. Cianjur,Tanggeung,Margaluyu,0.7943,0.7,0.6,0.6981,Berkembang
Kab. Cianjur,Tanggeung,Karangtengah,0.8229,0.6167,0.6667,0.7021,Berkembang
Kab. Cianjur,Tanggeung,Pagermaneuh,0.8571,0.5333,0.6667,0.6857,Berkembang
Kab. Cianjur,Tanggeung,Bojongpetir,0.7714,0.6333,0.8,0.7349,Maju
Kab. Cianjur,Tanggeung,Pasirjambu,0.7029,0.5833,0.6,0.6287,Berkembang
Kab. Cianjur,Tanggeung,Sirnajaya,0.7371,0.6167,0.6667,0.6735,Berkembang
Kab. Cianjur,Tanggeung,Kertajaya,0.7429,0.6667,0.6667,0.6921,Berkembang
Kab. Cianjur,Tanggeung,Sukajaya,0.7143,0.7333,0.6667,0.7048,Berkembang
Kab. Cianjur,Tanggeung,Padaluyu,0.7486,0.5667,0.6,0.6384,Berkembang
Kab. Cianjur,Cibinong,Pananggapan,0.8114,0.7667,0.6,0.726,Maju
Kab. Cianjur,Cibinong,Cikangkareng,0.7714,0.7,0.6667,0.7127,Maju
Kab. Cianjur,Cibinong,Sukajadi,0.8971,0.9,0.6,0.799,Maju
Kab. Cianjur,Cibinong,Panyindangan,0.8286,0.6167,0.6,0.6817,Berkembang
Kab. Cianjur,Cibinong,Padasuka,0.8286,0.7,0.6,0.7095,Maju
Kab. Cianjur,Cibinong,Cimaskara,0.8057,0.75,0.8667,0.8075,Maju
Kab. Cianjur,Cibinong,Pamoyanan,0.8457,0.7,0.8,0.7819,Maju
Kab. Cianjur,Cibinong,Batulawang,0.8514,0.8167,0.5333,0.7338,Maju
Kab. Cianjur,Cibinong,Sukamekar,0.8,0.6833,0.6667,0.7167,Maju
Kab. Cianjur,Cibinong,Hamerang,0.7886,0.7167,0.6667,0.724,Maju
Kab. Cianjur,Cibinong,Girijaya,0.8571,0.6667,0.8667,0.7968,Maju
Kab. Cianjur,Cibinong,Wargaluyu,0.8343,0.7,0.5333,0.6892,Berkembang
Kab. Cianjur,Cibinong,Mekarmukti,0.84,0.7,0.6,0.7133,Maju
Kab. Cianjur,Cibinong,Ciburial,0.8457,0.6333,0.6,0.693,Berkembang
Kab. Cianjur,Sindangbarang,Saganten,0.8629,0.7833,0.8,0.8154,Maju
Kab. Cianjur,Sindangbarang,Muaracikadu,0.8571,0.7833,0.8,0.8135,Maju
Kab. Cianjur,Sindangbarang,Jatisari,0.8114,0.6667,0.8667,0.7816,Maju
Kab. Cianjur,Sindangbarang,Sirnagalih,0.8971,0.7167,0.7333,0.7824,Maju
Kab. Cianjur,Sindangbarang,Jayagiri,0.8457,0.7,0.8667,0.8041,Maju
Kab. Cianjur,Sindangbarang,Kertasari,0.7314,0.7333,0.8,0.7549,Maju
Kab. Cianjur,Sindangbarang,Girimukti,0.8571,0.7833,0.8,0.8135,Maju
Kab. Cianjur,Sindangbarang,Talagasari,0.84,0.75,0.8,0.7967,Maju
Kab. Cianjur,Sindangbarang,Hegarsari,0.8229,0.6333,0.8667,0.7743,Maju
Kab. Cianjur,Sindangbarang,Mekarlaksana,0.7371,0.6167,0.8,0.7179,Maju
Kab. Cianjur,Sindangbarang,Kertamukti,0.68,0.6,0.8667,0.7156,Maju
Kab. Cianjur,Agrabinta,Sukamanah,0.8571,0.7167,0.8667,0.8135,Maju
Kab. Cianjur,Agrabinta,Bojongkaso,0.7429,0.6333,0.7333,0.7032,Berkembang
Kab. Cianjur,Agrabinta,Bunisari,0.7714,0.5667,0.7333,0.6905,Berkembang
Kab. Cianjur,Agrabinta,Wanasari,0.8171,0.5667,0.7333,0.7057,Berkembang
Kab. Cianjur,Agrabinta,Sinarlaut,0.7371,0.5167,0.8,0.6846,Berkembang
Kab. Cianjur,Agrabinta,Neglasari,0.7371,0.5667,0.8,0.7013,Berkembang
Kab. Cianjur,Agrabinta,Karangsari,0.7543,0.5,0.7333,0.6625,Berkembang
Kab. Cianjur,Agrabinta,Mulyasari,0.68,0.5833,0.8,0.6878,Berkembang
Kab. Cianjur,Agrabinta,Tanjung Sari,0.7829,0.6167,0.9333,0.7776,Maju
Kab. Cianjur,Agrabinta,Mekarsari,0.8286,0.9,0.7333,0.8206,Mandiri
Kab. Cianjur,Agrabinta,Wangunjaya,0.6514,0.5667,0.8667,0.6949,Berkembang
Kab. Cianjur,Cidaun,Cidamar,0.7429,0.9,0.8,0.8143,Maju
Kab. Cianjur,Cidaun,Cibuluh,0.8171,0.6667,0.6,0.6946,Berkembang
Kab. Cianjur,Cidaun,Cisalak,0.7486,0.6833,0.8667,0.7662,Maju
Kab. Cianjur,Cidaun,Cimaragang,0.7143,0.8,0.6667,0.727,Maju
Kab. Cianjur,Cidaun,Mekarjaya,0.7257,0.75,0.8,0.7586,Maju
Kab. Cianjur,Cidaun,Kertajadi,0.7886,0.8667,0.8,0.8184,Mandiri
Kab. Cianjur,Cidaun,Sukapura,0.6229,0.6167,0.8667,0.7021,Berkembang
Kab. Cianjur,Cidaun,Gelarpawitan,0.8114,0.6833,0.6,0.6983,Berkembang
Kab. Cianjur,Cidaun,Karangwangi,0.7314,0.8,0.8,0.7771,Maju
Kab. Cianjur,Cidaun,Karyabakti,0.76,0.8667,0.8,0.8089,Maju
Kab. Cianjur,Cidaun,Jayapura,0.7257,0.8,0.6667,0.7308,Maju
Kab. Cianjur,Cidaun,Neglasari,0.7257,0.6,0.8,0.7086,Maju
Kab. Cianjur,Cidaun,Puncakbaru,0.7771,0.7667,0.6,0.7146,Maju
Kab. Cianjur,Cidaun,Gelarwangi,0.6971,0.6333,0.8,0.7102,Maju
Kab. Cianjur,Naringgul,Naringgul,0.9086,0.75,0.6667,0.7751,Maju
Kab. Cianjur,Naringgul,Balegede,0.8171,0.7167,0.8667,0.8002,Maju
Kab. Cianjur,Naringgul,Wangunjaya,0.7429,0.8,0.8,0.781,Maju
Kab. Cianjur,Naringgul,Mekarsari,0.8629,0.6333,0.6,0.6987,Berkembang
Kab. Cianjur,Naringgul,Cinerang,0.9029,0.5667,0.6667,0.7121,Maju
Kab. Cianjur,Naringgul,Wanasari,0.8114,0.75,0.6667,0.7427,Maju
Kab. Cianjur,Naringgul,Sukabakti,0.8514,0.7167,0.6,0.7227,Maju
Kab. Cianjur,Naringgul,Malati,0.8171,0.5833,0.6667,0.689,Berkembang
Kab. Cianjur,Naringgul,Wangunsari,0.8229,0.6,0.6667,0.6965,Berkembang
Kab. Cianjur,Naringgul,Sukamulya,0.7943,0.5167,0.6667,0.6592,Berkembang
Kab. Cianjur,Naringgul,Margasari,0.7543,0.7,0.6,0.6848,Berkembang
Kab. Cianjur,Campakamulya,Cibanggala,0.8343,0.7167,0.8,0.7837,Maju
Kab. Cianjur,Campakamulya,Campakawarna,0.8057,0.6833,0.8,0.763,Maju
Kab. Cianjur,Campakamulya,Sukasirna,0.8743,0.6667,0.8,0.7803,Maju
Kab. Cianjur,Campakamulya,Campakamulya,0.7771,0.7167,0.8667,0.7868,Maju
Kab. Cianjur,Campakamulya,Sukabungah,0.8171,0.65,0.8,0.7557,Maju
Kab. Cianjur,Cikadu,Kalapanunggal,0.8,0.75,0.6,0.7167,Maju
Kab. Cianjur,Cikadu,Cikadu,0.88,0.6667,0.7333,0.76,Maju
Kab. Cianjur,Cikadu,Mekarwangi,0.7886,0.7667,0.6,0.7184,Maju
Kab. Cianjur,Cikadu,Padaluyu,0.8686,0.7833,0.5333,0.7284,Maju
Kab. Cianjur,Cikadu,Sukamulya,0.8,0.6833,0.5333,0.6722,Berkembang
Kab. Cianjur,Cikadu,Cisaranten,0.8229,0.6333,0.5333,0.6632,Berkembang
Kab. Cianjur,Cikadu,Mekarlaksana,0.8743,0.75,0.6,0.7414,Maju
Kab. Cianjur,Cikadu,Sukaluyu,0.8571,0.7,0.8667,0.8079,Maju
Kab. Cianjur,Cikadu,Mekarjaya,0.7771,0.75,0.6,0.709,Maju
Kab. Cianjur,Cikadu,Sukamanah,0.7086,0.5667,0.6,0.6251,Berkembang
Kab. Cianjur,Gekbrong,Bangbayang,0.8514,0.8667,0.6667,0.7949,Maju
Kab. Cianjur,Gekbrong,Songgom,0.8629,0.75,0.8667,0.8265,Mandiri
Kab. Cianjur,Gekbrong,Sukaratu,0.8457,0.8167,0.6667,0.7763,Maju
Kab. Cianjur,Gekbrong,Cikancana,0.8629,0.6833,0.8667,0.8043,Maju
Kab. Cianjur,Gekbrong,Kebonpeuteuy,0.76,0.7833,0.8667,0.8033,Maju
Kab. Cianjur,Gekbrong,Gekbrong,0.8229,0.8667,0.8667,0.8521,Mandiri
Kab. Cianjur,Gekbrong,Cikahuripan,0.8457,0.8167,0.6667,0.7763,Maju
Kab. Cianjur,Gekbrong,Cintaasih,0.8057,0.75,0.6667,0.7408,Maju
Kab. Cianjur,Cipanas,Cipanas,0.9657,0.9833,1,0.983,Mandiri
Kab. Cianjur,Cipanas,Cimacan,0.96,0.7667,0.9333,0.8867,Mandiri
Kab. Cianjur,Cipanas,Ciloto,0.9143,0.7833,0.6,0.7659,Maju
Kab. Cianjur,Cipanas,Sindanglaya,0.9543,0.8333,0.6667,0.8181,Mandiri
Kab. Cianjur,Cipanas,Batulawang,0.84,0.5333,0.8667,0.7467,Maju
Kab. Cianjur,Cipanas,Palasari,0.9714,0.8333,1,0.9349,Mandiri
Kab. Cianjur,Cipanas,Sindangjaya,0.9486,0.8833,0.8667,0.8995,Mandiri
Kab. Cianjur,Cijati,Parakantugu,0.8,0.7833,0.5333,0.7056,Berkembang
Kab. Cianjur,Cijati,Cijati,0.8,0.7,0.7333,0.7444,Maju
Kab. Cianjur,Cijati,Bojonglarang,0.8457,0.9,0.6,0.7819,Maju
Kab. Cianjur,Cijati,Padaasih,0.8,0.7667,0.5333,0.7,Berkembang
Kab. Cianjur,Cijati,Cibodas,0.8457,0.8167,0.6667,0.7763,Maju
Kab. Cianjur,Cijati,Sukamahi,0.7429,0.7167,0.6667,0.7087,Maju
Kab. Cianjur,Cijati,Sukaluyu,0.7943,0.8,0.7333,0.7759,Maju
Kab. Cianjur,Cijati,Caringin,0.8,0.6333,0.6,0.6778,Berkembang
Kab. Cianjur,Cijati,Sinarbakti,0.8743,0.55,0.6667,0.697,Berkembang
Kab. Cianjur,Cijati,Sukamaju,0.7543,0.7833,0.8,0.7792,Maju
Kab. Cianjur,Leles,Pusakasari,0.7886,0.75,0.8667,0.8017,Maju
Kab. Cianjur,Leles,Walahir,0.8114,0.6,0.6,0.6705,Berkembang
Kab. Cianjur,Leles,Purabaya,0.7314,0.5167,0.6,0.616,Berkembang
Kab. Cianjur,Leles,Puncakwangi,0.6686,0.6333,0.6667,0.6562,Berkembang
Kab. Cianjur,Leles,Sukajaya,0.7886,0.5667,0.7333,0.6962,Berkembang
Kab. Cianjur,Leles,Nagasari,0.7714,0.5333,0.8,0.7016,Berkembang
Kab. Cianjur,Leles,Sukasirna,0.7943,0.7,0.8,0.7648,Maju
Kab. Cianjur,Leles,Sukamulya,0.8571,0.65,0.9333,0.8135,Maju
Kab. Cianjur,Leles,Sirnasari,0.8,0.7,0.6,0.7,Berkembang
Kab. Cianjur,Leles,Karyamukti,0.7714,0.5667,0.7333,0.6905,Berkembang
Kab. Cianjur,Leles,Mandalawangi,0.9029,0.9,0.3333,0.7121,Maju
Kab. Cianjur,Leles,Sindangsari,0.7257,0.6167,0.7333,0.6919,Berkembang
Kab. Cianjur,Haurwangi,Haurwangi,0.9429,0.8167,0.9333,0.8976,Mandiri
Kab. Cianjur,Haurwangi,Cihea,0.8629,0.8167,0.9333,0.871,Mandiri
Kab. Cianjur,Haurwangi,Ramasari,0.9029,0.7167,1,0.8732,Mandiri
Kab. Cianjur,Haurwangi,Mekarwangi/Sukatani,0.7371,0.6833,0.8667,0.7624,Maju
Kab. Cianjur,Haurwangi,Mekarwangi,0.8571,0.65,0.6667,0.7246,Maju
Kab. Cianjur,Haurwangi,Kertasari,0.92,0.7833,0.7333,0.8122,Maju
Kab. Cianjur,Haurwangi,Cipeuyeum,0.8514,0.8167,0.6667,0.7783,Maju
Kab. Cianjur,Haurwangi,Kertamukti,0.8057,0.5833,0.8667,0.7519,Maju
Kab. Cianjur,Pasirkuda,Simpang,0.8,0.7167,0.6,0.7056,Berkembang
Kab. Cianjur,Pasirkuda,Kalibaru,0.8057,0.7,0.7333,0.7463,Maju
Kab. Cianjur,Pasirkuda,Pusakajaya,0.84,0.6833,0.6,0.7078,Maju
Kab. Cianjur,Pasirkuda,Kubang,0.7657,0.5667,0.7333,0.6886,Berkembang
Kab. Cianjur,Pasirkuda,Girimukti,0.7886,0.4833,0.8,0.6906,Berkembang
Kab. Cianjur,Pasirkuda,Karangjaya,0.8171,0.6333,0.6667,0.7057,Berkembang
Kab. Cianjur,Pasirkuda,Mekarmulya,0.8229,0.5667,0.6667,0.6854,Berkembang
Kab. Cianjur,Pasirkuda,Girijaya,0.8229,0.5,0.7333,0.6854,Berkembang
Kab. Cianjur,Pasirkuda,Padamulya,0.7543,0.7833,0.6,0.7125,Maju
Kab. Bandung,Cileunyi,Cileunyi Kulon,0.88,0.8333,0.9333,0.8822,Mandiri
Kab. Bandung,Cileunyi,Cileunyi Wetan,0.9886,1,0.9333,0.974,Mandiri
Kab. Bandung,Cileunyi,Cimekar,0.9314,0.7833,0.7333,0.816,Mandiri
Kab. Bandung,Cileunyi,Cinunuk,0.9771,1,1,0.9924,Mandiri
Kab. Bandung,Cileunyi,Cibiru Hilir,0.9829,0.9,0.8,0.8943,Mandiri
Kab. Bandung,Cileunyi,Cibiru Wetan,0.9943,1,1,0.9981,Mandiri
Kab. Bandung,Cimenyan,Cimenyan,0.9371,0.8833,0.8667,0.8957,Mandiri
Kab. Bandung,Cimenyan,Mandalamekar,0.9486,0.75,0.8,0.8329,Mandiri
Kab. Bandung,Cimenyan,Cikadut,0.9371,0.7167,0.9333,0.8624,Mandiri
Kab. Bandung,Cimenyan,Ciburial,0.9714,0.8833,0.9333,0.9294,Mandiri
Kab. Bandung,Cimenyan,Sindanglaya,0.9029,0.6667,0.6667,0.7454,Maju
Kab. Bandung,Cimenyan,Mekarsaluyu,0.88,0.7833,0.8667,0.8433,Mandiri
Kab. Bandung,Cimenyan,Mekarmanik,0.88,0.6167,0.7333,0.7433,Maju
Kab. Bandung,Cilengkrang,Jatiendah,0.9314,0.7667,0.8667,0.8549,Mandiri
Kab. Bandung,Cilengkrang,Cilengkrang,0.8743,0.6,0.8,0.7581,Maju
Kab. Bandung,Cilengkrang,Cipanjalu,0.7257,0.6167,0.8667,0.7363,Maju
Kab. Bandung,Cilengkrang,Melatiwangi,0.84,0.7833,0.8667,0.83,Mandiri
Kab. Bandung,Cilengkrang,Ciporeat,0.8571,0.6333,0.8667,0.7857,Maju
Kab. Bandung,Cilengkrang,Girimekar,0.9086,0.75,0.8667,0.8417,Mandiri
Kab. Bandung,Bojongsoang,Lengkong,0.9943,0.9833,1,0.9925,Mandiri
Kab. Bandung,Bojongsoang,Bojongsoang,0.9829,1,0.9333,0.9721,Mandiri
Kab. Bandung,Bojongsoang,Buahbatu,0.9771,0.9333,0.8667,0.9257,Mandiri
Kab. Bandung,Bojongsoang,Cipagalo,0.9657,1,0.8667,0.9441,Mandiri
Kab. Bandung,Bojongsoang,Bojongsari,0.9657,0.9833,0.8667,0.9386,Mandiri
Kab. Bandung,Bojongsoang,Tegalluar,0.96,1,0.9333,0.9644,Mandiri
Kab. Bandung,Margahayu,Margahayu Tengah,0.8971,0.8667,0.8,0.8546,Mandiri
Kab. Bandung,Margahayu,Margahayu Selatan,0.9086,0.9,0.6667,0.8251,Mandiri
Kab. Bandung,Margahayu,Sukamenak,0.9486,0.8667,0.8,0.8717,Mandiri
Kab. Bandung,Margahayu,Sayati,0.9543,0.9667,0.8667,0.9292,Mandiri
Kab. Bandung,Margaasih,Margaasih,0.9429,0.95,0.8667,0.9198,Mandiri
Kab. Bandung,Margaasih,Lagadar,0.92,0.8833,0.8667,0.89,Mandiri
Kab. Bandung,Margaasih,Nanjung,0.9143,0.7,0.8667,0.827,Mandiri
Kab. Bandung,Margaasih,Mekarrahayu,0.9429,0.9167,0.8667,0.9087,Mandiri
Kab. Bandung,Margaasih,Rahayu,0.8971,0.95,0.8667,0.9046,Mandiri
Kab. Bandung,Margaasih,Cigondewah Hilir,0.8686,0.7667,0.8667,0.834,Mandiri
Kab. Bandung,Katapang,Sangkanhurip,0.9657,0.9333,0.8,0.8997,Mandiri
Kab. Bandung,Katapang,Katapang,0.8686,0.7833,0.8667,0.8395,Mandiri
Kab. Bandung,Katapang,Gandasari,0.8914,0.9,0.6667,0.8194,Mandiri
Kab. Bandung,Katapang,Sukamukti,0.8514,0.7333,0.8,0.7949,Maju
Kab. Bandung,Katapang,Cilampeni,0.9714,0.85,0.6667,0.8294,Mandiri
Kab. Bandung,Katapang,Pangauban,0.9429,0.8667,0.8667,0.8921,Mandiri
Kab. Bandung,Katapang,Banyusari,0.92,0.8167,0.8667,0.8678,Mandiri
Kab. Bandung,Dayeuhkolot,Dayeuhkolot,0.8914,0.9333,0.8,0.8749,Mandiri
Kab. Bandung,Dayeuhkolot,Cangkuang Wetan,0.9543,0.8667,0.6667,0.8292,Mandiri
Kab. Bandung,Dayeuhkolot,Cangkuang Kulon,0.8914,0.9167,0.8,0.8694,Mandiri
Kab. Bandung,Dayeuhkolot,Sukapura,0.96,0.95,0.8667,0.9256,Mandiri
Kab. Bandung,Dayeuhkolot,Citeureup,0.9371,0.8833,0.8,0.8735,Mandiri
Kab. Bandung,Banjaran,Kamasan,0.8571,0.8333,0.6,0.7635,Maju
Kab. Bandung,Banjaran,Banjaran Wetan,0.8971,0.7667,0.6,0.7546,Maju
Kab. Bandung,Banjaran,Banjaran,0.9314,0.9667,0.8667,0.9216,Mandiri
Kab. Bandung,Banjaran,Ciapus,0.9314,0.8333,0.8667,0.8771,Mandiri
Kab. Bandung,Banjaran,Sindangpanon,0.9486,0.8,0.9333,0.894,Mandiri
Kab. Bandung,Banjaran,Kiangroke,0.8971,0.85,0.9333,0.8935,Mandiri
Kab. Bandung,Banjaran,Tarajusari,0.8629,0.7667,0.8667,0.8321,Mandiri
Kab. Bandung,Banjaran,Mekarjaya,0.8971,0.65,0.6,0.7157,Maju
Kab. Bandung,Banjaran,Margahurip,0.9429,0.85,0.8667,0.8865,Mandiri
Kab. Bandung,Banjaran,Neglasari,0.9086,0.7,0.5333,0.714,Maju
Kab. Bandung,Banjaran,Pasirmulya,0.9429,0.65,0.6,0.731,Maju
Kab. Bandung,Pameungpeuk,Sukasari,0.9143,0.8667,0.8667,0.8825,Mandiri
Kab. Bandung,Pameungpeuk,Bojongmanggu,0.8629,0.8,0.8,0.821,Mandiri
Kab. Bandung,Pameungpeuk,Rancatungku,0.9714,0.85,0.8667,0.896,Mandiri
Kab. Bandung,Pameungpeuk,Bojongkunci,0.9257,0.6667,0.9333,0.8419,Mandiri
Kab. Bandung,Pameungpeuk,Rancamulya,0.92,0.8,0.9333,0.8844,Mandiri
Kab. Bandung,Pameungpeuk,Langonsari,0.9371,0.9333,0.8667,0.9124,Mandiri
Kab. Bandung,Pangalengan,Pangalengan,0.9829,1,1,0.9943,Mandiri
Kab. Bandung,Pangalengan,Margaluyu,0.8457,0.65,0.9333,0.8097,Maju
Kab. Bandung,Pangalengan,Warnasari,0.9429,0.8167,0.8667,0.8754,Mandiri
Kab. Bandung,Pangalengan,Sukamanah,0.9371,0.9,0.8667,0.9013,Mandiri
Kab. Bandung,Pangalengan,Lamajang,0.9314,0.6667,1,0.866,Mandiri
Kab. Bandung,Pangalengan,Margamukti,0.9657,0.7833,0.8667,0.8719,Mandiri
Kab. Bandung,Pangalengan,Margamulya,0.9371,0.9167,0.7333,0.8624,Mandiri
Kab. Bandung,Pangalengan,Banjarsari,0.8629,0.6167,0.8667,0.7821,Maju
Kab. Bandung,Pangalengan,Sukaluyu,0.8171,0.6667,0.8667,0.7835,Maju
Kab. Bandung,Pangalengan,Tribaktimulya,0.8686,0.6833,0.9333,0.8284,Mandiri
Kab. Bandung,Pangalengan,Pulosari,0.9886,0.6667,1,0.8851,Mandiri
Kab. Bandung,Pangalengan,Wanasuka,0.84,0.65,0.8667,0.7856,Maju
Kab. Bandung,Pangalengan,Margamekar,0.9314,0.8,0.8667,0.866,Mandiri
Kab. Bandung,Arjasari,Arjasari,0.9029,0.9333,0.9333,0.9232,Mandiri
Kab. Bandung,Arjasari,Lebakwangi,0.9143,0.7667,0.9333,0.8714,Mandiri
Kab. Bandung,Arjasari,Batukarut,0.8857,0.8333,0.8667,0.8619,Mandiri
Kab. Bandung,Arjasari,Ancolmekar,0.84,0.5333,0.8,0.7244,Maju
Kab. Bandung,Arjasari,Baros,0.9029,0.65,0.8667,0.8065,Maju
Kab. Bandung,Arjasari,Mangunjaya,0.8857,0.7333,0.7333,0.7841,Maju
Kab. Bandung,Arjasari,Mekarjaya,0.8629,0.6,0.8667,0.7765,Maju
Kab. Bandung,Arjasari,Pinggirsari,0.7943,0.6333,0.9333,0.787,Maju
Kab. Bandung,Arjasari,Patrolsari,0.8114,0.7667,0.7333,0.7705,Maju
Kab. Bandung,Arjasari,Rancakole,0.8629,0.7167,0.9333,0.8376,Mandiri
Kab. Bandung,Arjasari,Wargaluyu,0.7771,0.6833,0.6667,0.709,Maju
Kab. Bandung,Cimaung,Cimaung,0.8629,0.8833,0.8,0.8487,Mandiri
Kab. Bandung,Cimaung,Jagabaya,0.92,0.8667,0.8667,0.8844,Mandiri
Kab. Bandung,Cimaung,Pasirhuni,0.9486,0.7667,0.6667,0.794,Maju
Kab. Bandung,Cimaung,Campakamulya,0.9086,0.8667,0.8,0.8584,Mandiri
Kab. Bandung,Cimaung,Cipinang,0.9543,0.8667,0.8667,0.8959,Mandiri
Kab. Bandung,Cimaung,Mekarsari,0.8343,0.5667,0.8667,0.7559,Maju
Kab. Bandung,Cimaung,Sukamaju,1,0.85,0.6667,0.8389,Mandiri
Kab. Bandung,Cimaung,Cikalong,0.9029,0.85,0.9333,0.8954,Mandiri
Kab. Bandung,Cimaung,Malasari,0.8057,0.7667,0.8667,0.813,Maju
Kab. Bandung,Cimaung,Warjabakti,0.8571,0.7333,0.8667,0.819,Mandiri
Kab. Bandung,Cicalengka,Cicalengka Kulon,0.8914,0.9167,0.6667,0.8249,Mandiri
Kab. Bandung,Cicalengka,Cicalengka Wetan,0.9429,0.9,0.8,0.881,Mandiri
Kab. Bandung,Cicalengka,Babakan Peuteuy,0.9314,0.6833,0.6667,0.7605,Maju
Kab. Bandung,Cicalengka,Cikuya,0.8971,0.8,0.8,0.8324,Mandiri
Kab. Bandung,Cicalengka,Dampit,0.8514,0.5833,0.8667,0.7671,Maju
Kab. Bandung,Cicalengka,Margaasih,0.8457,0.6167,0.6667,0.7097,Maju
Kab. Bandung,Cicalengka,Narawita,0.88,0.7,0.6667,0.7489,Maju
Kab. Bandung,Cicalengka,Panenjoan,0.9543,0.75,0.9333,0.8792,Mandiri
Kab. Bandung,Cicalengka,Tanjungwangi,0.8857,0.6,0.6667,0.7175,Maju
Kab. Bandung,Cicalengka,Tenjolaya,0.88,0.8,0.8667,0.8489,Mandiri
Kab. Bandung,Cicalengka,Waluya,0.8,0.65,0.8,0.75,Maju
Kab. Bandung,Cicalengka,Nagrog,0.9143,0.8833,0.8667,0.8881,Mandiri
Kab. Bandung,Nagreg,Nagreg,0.8914,0.7333,0.8667,0.8305,Mandiri
Kab. Bandung,Nagreg,Bojong,0.9029,0.75,0.8,0.8176,Mandiri
Kab. Bandung,Nagreg,Ciaro,0.8229,0.75,0.9333,0.8354,Mandiri
Kab. Bandung,Nagreg,Ciherang,0.8629,0.7667,0.9333,0.8543,Mandiri
Kab. Bandung,Nagreg,Citaman,0.9829,0.7833,1,0.9221,Mandiri
Kab. Bandung,Nagreg,Mandalawangi,0.8629,0.7833,0.8667,0.8376,Mandiri
Kab. Bandung,Nagreg,Nagreg Kendan,0.9029,0.75,1,0.8843,Mandiri
Kab. Bandung,Nagreg,Ganjar Sabar,0.9371,0.9667,0.9333,0.9457,Mandiri
Kab. Bandung,Cikancung,Mandalasari,0.8,0.7833,0.8667,0.8167,Mandiri
Kab. Bandung,Cikancung,Cikancung,0.8057,0.6667,0.6667,0.713,Maju
Kab. Bandung,Cikancung,Cikasungka,0.9257,0.9,0.8,0.8752,Mandiri
Kab. Bandung,Cikancung,Cihanyir,0.8343,0.7667,0.8667,0.8225,Mandiri
Kab. Bandung,Cikancung,Ciluluk,0.8629,0.75,0.6667,0.7598,Maju
Kab. Bandung,Cikancung,Hegarmanah,0.8971,0.7,0.6667,0.7546,Maju
Kab. Bandung,Cikancung,Mekarlaksana,0.7829,0.6667,0.8,0.7498,Maju
Kab. Bandung,Cikancung,Tanjunglaya,0.9086,0.8833,0.8667,0.8862,Mandiri
Kab. Bandung,Cikancung,Srirahayu,0.8457,0.6,0.8667,0.7708,Maju
Kab. Bandung,Rancaekek,Rancaekek Wetan,0.9771,0.9667,0.9333,0.959,Mandiri
Kab. Bandung,Rancaekek,Rancaekek Kulon,0.9257,0.7,0.8,0.8086,Maju
Kab. Bandung,Rancaekek,Bojongsalam,0.8057,0.7,0.7333,0.7463,Maju
Kab. Bandung,Rancaekek,Bojongloa,0.9371,0.9333,0.6,0.8235,Mandiri
Kab. Bandung,Rancaekek,Jelegong,0.9371,0.9167,0.6,0.8179,Mandiri
Kab. Bandung,Rancaekek,Linggar,0.9429,0.8,0.7333,0.8254,Mandiri
Kab. Bandung,Rancaekek,Cangkuang,0.8971,0.7833,0.6,0.7602,Maju
Kab. Bandung,Rancaekek,Haurpugur,0.8343,0.6667,0.6667,0.7225,Maju
Kab. Bandung,Rancaekek,Sukamanah,0.9143,0.7333,0.7333,0.7937,Maju
Kab. Bandung,Rancaekek,Sukamulya,0.8171,0.6167,0.7333,0.7224,Maju
Kab. Bandung,Rancaekek,Tegal Sumedang,0.8857,0.6167,0.6667,0.723,Maju
Kab. Bandung,Rancaekek,Sangiang,0.8857,0.8,0.5333,0.7397,Maju
Kab. Bandung,Rancaekek,Nanjung Mekar,0.9543,0.8167,0.8,0.857,Mandiri
Kab. Bandung,Ciparay,Ciparay,0.9486,0.75,1,0.8995,Mandiri
Kab. Bandung,Ciparay,Gunungleutik,0.9771,0.85,0.7333,0.8535,Mandiri
Kab. Bandung,Ciparay,Mekarsari,0.8686,0.7333,0.9333,0.8451,Mandiri
Kab. Bandung,Ciparay,Cikoneng,0.92,0.8333,1,0.9178,Mandiri
Kab. Bandung,Ciparay,Ciheulang,0.9371,0.7833,0.8667,0.8624,Mandiri
Kab. Bandung,Ciparay,Pakutandang,0.9714,0.8833,0.9333,0.9294,Mandiri
Kab. Bandung,Ciparay,Sumbersari,0.9543,0.7333,0.8667,0.8514,Mandiri
Kab. Bandung,Ciparay,Manggungharja,0.9714,0.95,0.9333,0.9516,Mandiri
Kab. Bandung,Ciparay,Sagaracipta,0.9086,0.7833,0.8667,0.8529,Mandiri
Kab. Bandung,Ciparay,Sarimahi,0.9486,0.8,0.8667,0.8717,Mandiri
